gis_nr,farm_id,bfsnr,gembez,estate_nr,flaeche,blw_nr,blw_name,harvest_date,has_nhg_contract,lz_code,hang_50,hang_reb_0,hang_reb_30,hang_reb_50,einzelkulturbeitrag,outside_canton,bfs_parz,birth,bfsnr_num,has_bff_q2_contract,has_connectivity_contract,has_lqb_contract,region,contribution,used,operating_rate,hang_0,hang_18,hang_35,q1_from,geodb_oid
"109918",0261/ 1/304,"0245",Oberengstringen,"1758",5,"0712",Christbäume,,0,31,0,0,0,0,N,N,0245_1758,2023,245,N,N,N,Frankental,J,J,100,0,2,3,,135860
"11020159",0089/ 1/  2,"0055",Eglisau,"579",17,"0712",Christbäume,,0,31,10,0,0,0,N,N,0055_579,2023,55,N,N,N,Chatzengraben,J,J,100,1,3,3,,136059
"11318666",0133/ 1/ 49,"0295",Horgen,HN3894,41,"0712",Christbäume,,0,41,0,0,0,0,N,N,0295_HN3894,2023,295,N,N,N,Stockacker,J,J,100,28,13,0,,136428
"132349",0191/ 1/702,"0193",Fällanden,"227",2,"0712",Christbäume,,0,31,0,0,0,0,N,N,0193_227,2023,193,N,N,N,Unterriet,J,J,100,2,0,0,,136520
"111266",0133/ 1/ 49,"0295",Horgen,HN2996,35,"0712",Christbäume,,0,41,0,0,0,0,N,N,0295_HN2996,2023,295,N,N,N,Oberhof,J,J,100,8,22,5,,137147
"40530",0195/ 1/104,"0195",Maur,"1507",12,"0712",Christbäume,,0,31,7,0,0,0,N,N,0195_1507,2023,195,N,N,N,Mattacher,J,J,100,2,1,2,,137422
"34983",0214/ 1/ 24,"0039",Thalheim an der Thur,"414",66,"0712",Christbäume,,0,31,0,0,0,0,N,N,0039_414,2023,39,N,N,N,Büel,J,J,100,54,12,0,,137775
"105060",0084/ 1/ 20,"0084",Dällikon,"2452",122,"0712",Christbäume,,0,31,0,0,0,0,N,N,0084_2452,2023,84,N,N,N,Erlenhau,J,J,100,122,0,0,,138081
"334931",0219/ 1/ 54,"0298",Wiesendangen,BE285,116,"0712",Christbäume,,0,31,0,0,0,0,N,N,0298_BE285,2023,298,N,N,N,Müslen,J,J,100,105,11,0,,139017
"340375",0261/ 1/999,"0097",Rümlang,"4648",33,"0712",Christbäume,,0,31,0,0,0,0,N,N,0097_4648,2023,97,N,N,N,Zwüscheneich,J,J,100,33,0,0,,141806
